"","dimension","regex","token"
"1","human_rights","\baboriginal peoples\b","aboriginal peoples"
"2","human_rights","\baboriginals\b","aboriginals"
"3","human_rights","\babuse\b","abuse"
"4","human_rights","\baccept\b","accept"
"5","human_rights","\baccepted\b","accepted"
"6","human_rights","\baccommodating\b","accommodating"
"7","human_rights","\baccommodation\b","accommodation"
"8","human_rights","\baccountability\b","accountability"
"9","human_rights","\bactivities\b","activities"
"10","human_rights","\bacts\b","acts"
"11","human_rights","\badopt\b","adopt"
"12","human_rights","\badopted\b","adopted"
"13","human_rights","\badverse\b","adverse"
"14","human_rights","\badversely\b","adversely"
"15","human_rights","\bafrican\b","african"
"16","human_rights","\bafrican american\b","african american"
"17","human_rights","\bafrican americans\b","african americans"
"18","human_rights","\bafricans\b","africans"
"19","human_rights","\baged\b","aged"
"20","human_rights","\bagent\b","agent"
"21","human_rights","\bages\b","ages"
"22","human_rights","\bagreements\b","agreements"
"23","human_rights","\baids\b","aids"
"24","human_rights","\balaska natives\b","alaska natives"
"25","human_rights","\balaskan natives\b","alaskan natives"
"26","human_rights","\balternative lifestyle\b","alternative lifestyle"
"27","human_rights","\balternative lifestyles\b","alternative lifestyles"
"28","human_rights","\balternative lives\b","alternative lives"
"29","human_rights","\bavoid\b","avoid"
"30","human_rights","\baward\b","award"
"31","human_rights","\bawareness\b","awareness"
"32","human_rights","\bbalancing\b","balancing"
"33","human_rights","\bbaselines\b","baselines"
"34","human_rights","\bbelonging\b","belonging"
"35","human_rights","\bbeneficially\b","beneficially"
"36","human_rights","\bbeneficiary\b","beneficiary"
"37","human_rights","\bbenefit\b","benefit"
"38","human_rights","\bbenefits\b","benefits"
"39","human_rights","\bbylaws\b","bylaws"
"40","human_rights","\bcare\b","care"
"41","human_rights","\bcertification\b","certification"
"42","human_rights","\bcertifications\b","certifications"
"43","human_rights","\bcertify\b","certify"
"44","human_rights","\bcertifying\b","certifying"
"45","human_rights","\bcharitable\b","charitable"
"46","human_rights","\bcivil\b","civil"
"47","human_rights","\bcivil liberties\b","civil liberties"
"48","human_rights","\bcivil liberty\b","civil liberty"
"49","human_rights","\bcivil rights\b","civil rights"
"50","human_rights","\bclaims\b","claims"
"51","human_rights","\bclass\b","class"
"52","human_rights","\bcoach\b","coach"
"53","human_rights","\bcommitments\b","commitments"
"54","human_rights","\bcommittee\b","committee"
"55","human_rights","\bcommunities\b","communities"
"56","human_rights","\bcommunity\b","community"
"57","human_rights","\bconstitution\b","constitution"
"58","human_rights","\bconstitutional right\b","constitutional right"
"59","human_rights","\bconstitutional rights\b","constitutional rights"
"60","human_rights","\bcore\b","core"
"61","human_rights","\bcovenants\b","covenants"
"62","human_rights","\bcross culturalism\b","cross culturalism"
"63","human_rights","\bcross culturalisms\b","cross culturalisms"
"64","human_rights","\bcultures\b","cultures"
"65","human_rights","\bcustodian\b","custodian"
"66","human_rights","\bdevelopment\b","development"
"67","human_rights","\bdied\b","died"
"68","human_rights","\bdies\b","dies"
"69","human_rights","\bdisability\b","disability"
"70","human_rights","\bdisabled\b","disabled"
"71","human_rights","\bdisadvantage\b","disadvantage"
"72","human_rights","\bdisadvantaged\b","disadvantaged"
"73","human_rights","\bdisadvantageous\b","disadvantageous"
"74","human_rights","\bdisadvantages\b","disadvantages"
"75","human_rights","\bdisasters\b","disasters"
"76","human_rights","\bdiscriminating\b","discriminating"
"77","human_rights","\bdiscrimination\b","discrimination"
"78","human_rights","\bdiscriminatory\b","discriminatory"
"79","human_rights","\bdiverse\b","diverse"
"80","human_rights","\bdiversification\b","diversification"
"81","human_rights","\bdiversified\b","diversified"
"82","human_rights","\bdiversify\b","diversify"
"83","human_rights","\bdiversifying\b","diversifying"
"84","human_rights","\bdiversity\b","diversity"
"85","human_rights","\bduty\b","duty"
"86","human_rights","\beducate\b","educate"
"87","human_rights","\beducating\b","educating"
"88","human_rights","\beducation\b","education"
"89","human_rights","\beducational\b","educational"
"90","human_rights","\belected\b","elected"
"91","human_rights","\belection\b","election"
"92","human_rights","\bemploy\b","employ"
"93","human_rights","\bemployed\b","employed"
"94","human_rights","\bemployee\b","employee"
"95","human_rights","\bemployee involvement\b","employee involvement"
"96","human_rights","\bemployee involvements\b","employee involvements"
"97","human_rights","\bemployees\b","employees"
"98","human_rights","\bemployees'\b","employees'"
"99","human_rights","\bemploying\b","employing"
"100","human_rights","\bemployment\b","employment"
"101","human_rights","\bempower\b","empower"
"102","human_rights","\bempowered\b","empowered"
"103","human_rights","\bempowering\b","empowering"
"104","human_rights","\bempowerment\b","empowerment"
"105","human_rights","\bempowers\b","empowers"
"106","human_rights","\benabling\b","enabling"
"107","human_rights","\bengage\b","engage"
"108","human_rights","\bengaging\b","engaging"
"109","human_rights","\benhancements\b","enhancements"
"110","human_rights","\benhancing\b","enhancing"
"111","human_rights","\bentitled rights\b","entitled rights"
"112","human_rights","\bequal\b","equal"
"113","human_rights","\bequal opportunities\b","equal opportunities"
"114","human_rights","\bequal opportunity\b","equal opportunity"
"115","human_rights","\bequality\b","equality"
"116","human_rights","\bequity\b","equity"
"117","human_rights","\bergonomically\b","ergonomically"
"118","human_rights","\bethic\b","ethic"
"119","human_rights","\bethical\b","ethical"
"120","human_rights","\bethically\b","ethically"
"121","human_rights","\bethnic\b","ethnic"
"122","human_rights","\bethnic diversities\b","ethnic diversities"
"123","human_rights","\bethnic diversity\b","ethnic diversity"
"124","human_rights","\bethnic mosaic\b","ethnic mosaic"
"125","human_rights","\bethnic mosaics\b","ethnic mosaics"
"126","human_rights","\bethnically\b","ethnically"
"127","human_rights","\bethnicities\b","ethnicities"
"128","human_rights","\bethnicity\b","ethnicity"
"129","human_rights","\bexercise\b","exercise"
"130","human_rights","\beyes\b","eyes"
"131","human_rights","\bface\b","face"
"132","human_rights","\bfair\b","fair"
"133","human_rights","\bfairness\b","fairness"
"134","human_rights","\bfamilies\b","families"
"135","human_rights","\bfamily\b","family"
"136","human_rights","\bfemale\b","female"
"137","human_rights","\bfiduciary\b","fiduciary"
"138","human_rights","\bfirst nations\b","first nations"
"139","human_rights","\bfirst peoples\b","first peoples"
"140","human_rights","\bfree\b","free"
"141","human_rights","\bfreedom\b","freedom"
"142","human_rights","\bgay\b","gay"
"143","human_rights","\bgays\b","gays"
"144","human_rights","\bgender\b","gender"
"145","human_rights","\bgender diversities\b","gender diversities"
"146","human_rights","\bgender diversity\b","gender diversity"
"147","human_rights","\bgenders\b","genders"
"148","human_rights","\bgod given right\b","god given right"
"149","human_rights","\bgod given rights\b","god given rights"
"150","human_rights","\bgovernance\b","governance"
"151","human_rights","\bhabitat\b","habitat"
"152","human_rights","\bhazardous\b","hazardous"
"153","human_rights","\bhealthcare\b","healthcare"
"154","human_rights","\bhealthcaring\b","healthcaring"
"155","human_rights","\bhire\b","hire"
"156","human_rights","\bhiring\b","hiring"
"157","human_rights","\bhonest\b","honest"
"158","human_rights","\bhonesty\b","honesty"
"159","human_rights","\bhuman development\b","human development"
"160","human_rights","\bhumanitarian\b","humanitarian"
"161","human_rights","\bhumans\b","humans"
"162","human_rights","\bhungry\b","hungry"
"163","human_rights","\bimprisonment\b","imprisonment"
"164","human_rights","\binclusive\b","inclusive"
"165","human_rights","\binclusiveness\b","inclusiveness"
"166","human_rights","\binfringe\b","infringe"
"167","human_rights","\binfringement\b","infringement"
"168","human_rights","\binfringing\b","infringing"
"169","human_rights","\binterests\b","interests"
"170","human_rights","\binvoluntarily\b","involuntarily"
"171","human_rights","\binvoluntary\b","involuntary"
"172","human_rights","\binvolve\b","involve"
"173","human_rights","\binvolved\b","involved"
"174","human_rights","\binvolvement\b","involvement"
"175","human_rights","\blabor\b","labor"
"176","human_rights","\blabor issue\b","labor issue"
"177","human_rights","\blabor issues\b","labor issues"
"178","human_rights","\blabor right\b","labor right"
"179","human_rights","\blabor rights\b","labor rights"
"180","human_rights","\blawful\b","lawful"
"181","human_rights","\blawfulness\b","lawfulness"
"182","human_rights","\blaws\b","laws"
"183","human_rights","\blegal\b","legal"
"184","human_rights","\blegality\b","legality"
"185","human_rights","\blesbian\b","lesbian"
"186","human_rights","\blesbians\b","lesbians"
"187","human_rights","\blife partner\b","life partner"
"188","human_rights","\blifestyles\b","lifestyles"
"189","human_rights","\bmate\b","mate"
"190","human_rights","\bmedicaid\b","medicaid"
"191","human_rights","\bmedicare\b","medicare"
"192","human_rights","\bmedicinal\b","medicinal"
"193","human_rights","\bminorities\b","minorities"
"194","human_rights","\bminority\b","minority"
"195","human_rights","\bmission\b","mission"
"196","human_rights","\bnationality\b","nationality"
"197","human_rights","\bnationalization\b","nationalization"
"198","human_rights","\bnationalize\b","nationalize"
"199","human_rights","\bnative\b","native"
"200","human_rights","\bnative peoples\b","native peoples"
"201","human_rights","\bnatives\b","natives"
"202","human_rights","\bnatural rights\b","natural rights"
"203","human_rights","\boppressive regime\b","oppressive regime"
"204","human_rights","\boppressive regimes\b","oppressive regimes"
"205","human_rights","\boriginal settlers\b","original settlers"
"206","human_rights","\boutsiders\b","outsiders"
"207","human_rights","\boutsource\b","outsource"
"208","human_rights","\boutsources\b","outsources"
"209","human_rights","\boutsourcing\b","outsourcing"
"210","human_rights","\bownership\b","ownership"
"211","human_rights","\bparties\b","parties"
"212","human_rights","\bpartner\b","partner"
"213","human_rights","\bpartners\b","partners"
"214","human_rights","\bpartnerships\b","partnerships"
"215","human_rights","\bpayroll\b","payroll"
"216","human_rights","\bpeer\b","peer"
"217","human_rights","\bpension\b","pension"
"218","human_rights","\bpeople\b","people"
"219","human_rights","\bperformance\b","performance"
"220","human_rights","\bperformers\b","performers"
"221","human_rights","\bperson\b","person"
"222","human_rights","\bpersonal\b","personal"
"223","human_rights","\bpersonnel\b","personnel"
"224","human_rights","\bpersons\b","persons"
"225","human_rights","\bphilanthropy\b","philanthropy"
"226","human_rights","\bphilosophies\b","philosophies"
"227","human_rights","\bplurality\b","plurality"
"228","human_rights","\bpoor\b","poor"
"229","human_rights","\bprejudiced\b","prejudiced"
"230","human_rights","\bprejudices\b","prejudices"
"231","human_rights","\bpreservation\b","preservation"
"232","human_rights","\bprivileges\b","privileges"
"233","human_rights","\bprotected\b","protected"
"234","human_rights","\bprotections\b","protections"
"235","human_rights","\brace\b","race"
"236","human_rights","\braces\b","races"
"237","human_rights","\bracial\b","racial"
"238","human_rights","\brape\b","rape"
"239","human_rights","\breallocate\b","reallocate"
"240","human_rights","\breallocated\b","reallocated"
"241","human_rights","\brebuilding\b","rebuilding"
"242","human_rights","\brecognition\b","recognition"
"243","human_rights","\bregulate\b","regulate"
"244","human_rights","\bregulations\b","regulations"
"245","human_rights","\bregulatory\b","regulatory"
"246","human_rights","\brelations\b","relations"
"247","human_rights","\brelationship\b","relationship"
"248","human_rights","\brelationships\b","relationships"
"249","human_rights","\breligious\b","religious"
"250","human_rights","\breligious diversities\b","religious diversities"
"251","human_rights","\breligious diversity\b","religious diversity"
"252","human_rights","\breservation\b","reservation"
"253","human_rights","\brespect for human rights\b","respect for human rights"
"254","human_rights","\brespect for privacy\b","respect for privacy"
"255","human_rights","\bretirement\b","retirement"
"256","human_rights","\bright\b","right"
"257","human_rights","\brights to citizenship\b","rights to citizenship"
"258","human_rights","\bsafety\b","safety"
"259","human_rights","\bsalaries\b","salaries"
"260","human_rights","\bsame sex\b","same sex"
"261","human_rights","\bscholarships\b","scholarships"
"262","human_rights","\bsexually\b","sexually"
"263","human_rights","\bshared norms\b","shared norms"
"264","human_rights","\bsick\b","sick"
"265","human_rights","\bsocial\b","social"
"266","human_rights","\bspouse\b","spouse"
"267","human_rights","\bstrengths\b","strengths"
"268","human_rights","\btalented\b","talented"
"269","human_rights","\bteamwork\b","teamwork"
"270","human_rights","\bunalienable rights\b","unalienable rights"
"271","human_rights","\bunbiased\b","unbiased"
"272","human_rights","\bunconditional\b","unconditional"
"273","human_rights","\bunderrepresented group\b","underrepresented group"
"274","human_rights","\bunderrepresented groups\b","underrepresented groups"
"275","human_rights","\bunemployable\b","unemployable"
"276","human_rights","\bunemployment\b","unemployment"
"277","human_rights","\bunethical\b","unethical"
"278","human_rights","\bunfair\b","unfair"
"279","human_rights","\bunionized\b","unionized"
"280","human_rights","\bunions\b","unions"
"281","human_rights","\bunlawful\b","unlawful"
"282","human_rights","\bvote\b","vote"
"283","human_rights","\bvoting\b","voting"
"284","human_rights","\bvulnerability\b","vulnerability"
"285","human_rights","\bwellness\b","wellness"
"286","human_rights","\bwheelchair\b","wheelchair"
"287","human_rights","\bwheelchair access\b","wheelchair access"
"288","human_rights","\bwheelchairs\b","wheelchairs"
"289","human_rights","\bwomen\b","women"
"290","human_rights","\bworkday\b","workday"
"291","human_rights","\bworker\b","worker"
"292","human_rights","\bworkers'\b","workers'"
"293","human_rights","\bworkforce\b","workforce"
"294","human_rights","\bworkforces\b","workforces"
"295","human_rights","\bworkplaces\b","workplaces"
"296","human_rights","\bworkspaces\b","workspaces"
"297","employee","\babuse\b","abuse"
"298","employee","\baccommodating\b","accommodating"
"299","employee","\baccommodation\b","accommodation"
"300","employee","\baccountability\b","accountability"
"301","employee","\badopted child\b","adopted child"
"302","employee","\badopted children\b","adopted children"
"303","employee","\bafrican american\b","african american"
"304","employee","\bafrican americans\b","african americans"
"305","employee","\baged\b","aged"
"306","employee","\balcohol\b","alcohol"
"307","employee","\balternative lifestyle\b","alternative lifestyle"
"308","employee","\balternative lifestyles\b","alternative lifestyles"
"309","employee","\bamericans with disabilities act\b","americans with disabilities act"
"310","employee","\bbalancing\b","balancing"
"311","employee","\bbathrooms\b","bathrooms"
"312","employee","\bbelieving\b","believing"
"313","employee","\bbeneficially\b","beneficially"
"314","employee","\bbeneficiary\b","beneficiary"
"315","employee","\bbenefit\b","benefit"
"316","employee","\bbenefits\b","benefits"
"317","employee","\bblended families\b","blended families"
"318","employee","\bbody\b","body"
"319","employee","\bbonus\b","bonus"
"320","employee","\bboundaries\b","boundaries"
"321","employee","\bbylaws\b","bylaws"
"322","employee","\bcare\b","care"
"323","employee","\bcertification\b","certification"
"324","employee","\bcertifications\b","certifications"
"325","employee","\bcertify\b","certify"
"326","employee","\bcertifying\b","certifying"
"327","employee","\bcivil\b","civil"
"328","employee","\bclaims\b","claims"
"329","employee","\bclass\b","class"
"330","employee","\bcollective well being\b","collective well being"
"331","employee","\bcollective well beings\b","collective well beings"
"332","employee","\bcontribution\b","contribution"
"333","employee","\bcultures\b","cultures"
"334","employee","\bcustodian\b","custodian"
"335","employee","\bcustoms\b","customs"
"336","employee","\bdevelopment\b","development"
"337","employee","\bdied\b","died"
"338","employee","\bdies\b","dies"
"339","employee","\bdirector\b","director"
"340","employee","\bdisability\b","disability"
"341","employee","\bdiscriminating\b","discriminating"
"342","employee","\bdiscrimination\b","discrimination"
"343","employee","\bdiscriminatory\b","discriminatory"
"344","employee","\bdiverse\b","diverse"
"345","employee","\bdiversification\b","diversification"
"346","employee","\bdiversified\b","diversified"
"347","employee","\bdiversify\b","diversify"
"348","employee","\bdiversifying\b","diversifying"
"349","employee","\bdiversity\b","diversity"
"350","employee","\bdrug\b","drug"
"351","employee","\beducate\b","educate"
"352","employee","\beducating\b","educating"
"353","employee","\beducation\b","education"
"354","employee","\beducational\b","educational"
"355","employee","\beducational programs\b","educational programs"
"356","employee","\belected\b","elected"
"357","employee","\bemploy\b","employ"
"358","employee","\bemployed\b","employed"
"359","employee","\bemployee\b","employee"
"360","employee","\bemployee's well being\b","employee's well being"
"361","employee","\bemployee equity\b","employee equity"
"362","employee","\bemployee involvement\b","employee involvement"
"363","employee","\bemployee relations\b","employee relations"
"364","employee","\bemployee safety\b","employee safety"
"365","employee","\bemployee welfare\b","employee welfare"
"366","employee","\bemployee well being\b","employee well being"
"367","employee","\bemployees\b","employees"
"368","employee","\bemployees'\b","employees'"
"369","employee","\bemployees well being\b","employees well being"
"370","employee","\bemployer\b","employer"
"371","employee","\bemployers\b","employers"
"372","employee","\bemployers'\b","employers'"
"373","employee","\bemploying\b","employing"
"374","employee","\bemployment\b","employment"
"375","employee","\bemploys\b","employs"
"376","employee","\bempower\b","empower"
"377","employee","\bempowered\b","empowered"
"378","employee","\bempowering\b","empowering"
"379","employee","\bempowerment\b","empowerment"
"380","employee","\bempowers\b","empowers"
"381","employee","\benabling\b","enabling"
"382","employee","\bengage\b","engage"
"383","employee","\bengaging\b","engaging"
"384","employee","\benhancements\b","enhancements"
"385","employee","\benhancing\b","enhancing"
"386","employee","\benjoyable\b","enjoyable"
"387","employee","\benvironment\b","environment"
"388","employee","\bequal\b","equal"
"389","employee","\bequal opportunity\b","equal opportunity"
"390","employee","\bequity\b","equity"
"391","employee","\bergonomically\b","ergonomically"
"392","employee","\bethic\b","ethic"
"393","employee","\bethically\b","ethically"
"394","employee","\bethnic\b","ethnic"
"395","employee","\bethnic diversity\b","ethnic diversity"
"396","employee","\bethnicities\b","ethnicities"
"397","employee","\bethnicity\b","ethnicity"
"398","employee","\beven\b","even"
"399","employee","\beven distribution\b","even distribution"
"400","employee","\bevenly distributed\b","evenly distributed"
"401","employee","\bexercise\b","exercise"
"402","employee","\bexperience\b","experience"
"403","employee","\bexperienced\b","experienced"
"404","employee","\bextended families\b","extended families"
"405","employee","\bextended family\b","extended family"
"406","employee","\bfair\b","fair"
"407","employee","\bfairness\b","fairness"
"408","employee","\bfamilies\b","families"
"409","employee","\bfamily\b","family"
"410","employee","\bfemale\b","female"
"411","employee","\bfiduciary\b","fiduciary"
"412","employee","\bfreedom\b","freedom"
"413","employee","\bgay\b","gay"
"414","employee","\bgays\b","gays"
"415","employee","\bgender diversity\b","gender diversity"
"416","employee","\bgoal\b","goal"
"417","employee","\bgoals\b","goals"
"418","employee","\bgovernance\b","governance"
"419","employee","\bgreen card\b","green card"
"420","employee","\bhard work\b","hard work"
"421","employee","\bhealth\b","health"
"422","employee","\bhealth benefits\b","health benefits"
"423","employee","\bhealth care benefits\b","health care benefits"
"424","employee","\bhealth insurance\b","health insurance"
"425","employee","\bhealthcare\b","healthcare"
"426","employee","\bhealthcaring\b","healthcaring"
"427","employee","\bhealthy\b","healthy"
"428","employee","\bhire\b","hire"
"429","employee","\bhiring\b","hiring"
"430","employee","\bhumanitarian\b","humanitarian"
"431","employee","\bhumans\b","humans"
"432","employee","\bincentives\b","incentives"
"433","employee","\bindividual\b","individual"
"434","employee","\bindividually\b","individually"
"435","employee","\binfringe\b","infringe"
"436","employee","\binfringement\b","infringement"
"437","employee","\binfringing\b","infringing"
"438","employee","\binsurance\b","insurance"
"439","employee","\binternal stakeholder\b","internal stakeholder"
"440","employee","\binternal stakeholders\b","internal stakeholders"
"441","employee","\binvolved\b","involved"
"442","employee","\bjobs\b","jobs"
"443","employee","\bknowledge\b","knowledge"
"444","employee","\bknowledgeable\b","knowledgeable"
"445","employee","\bknowledgebase\b","knowledgebase"
"446","employee","\blabor\b","labor"
"447","employee","\blabor rights\b","labor rights"
"448","employee","\blaborers\b","laborers"
"449","employee","\blawfulness\b","lawfulness"
"450","employee","\blaws\b","laws"
"451","employee","\bleader\b","leader"
"452","employee","\bleaders\b","leaders"
"453","employee","\bleadership\b","leadership"
"454","employee","\blearned\b","learned"
"455","employee","\blearning\b","learning"
"456","employee","\blegal\b","legal"
"457","employee","\blesbian\b","lesbian"
"458","employee","\blesbians\b","lesbians"
"459","employee","\blife benefits\b","life benefits"
"460","employee","\blife partner\b","life partner"
"461","employee","\blifestyles\b","lifestyles"
"462","employee","\blives\b","lives"
"463","employee","\bliving\b","living"
"464","employee","\bmanagement\b","management"
"465","employee","\bmate\b","mate"
"466","employee","\bmeals\b","meals"
"467","employee","\bmedicaid\b","medicaid"
"468","employee","\bmedicare\b","medicare"
"469","employee","\bmedicinal\b","medicinal"
"470","employee","\bminorities\b","minorities"
"471","employee","\bminority\b","minority"
"472","employee","\bmission\b","mission"
"473","employee","\bmoral\b","moral"
"474","employee","\bmortality\b","mortality"
"475","employee","\bmultinational\b","multinational"
"476","employee","\bnative\b","native"
"477","employee","\bnonemployee\b","nonemployee"
"478","employee","\bnonrenewal\b","nonrenewal"
"479","employee","\boccupational\b","occupational"
"480","employee","\bofficer\b","officer"
"481","employee","\bofficers\b","officers"
"482","employee","\boutsourcing\b","outsourcing"
"483","employee","\bpaid\b","paid"
"484","employee","\bpaid time off\b","paid time off"
"485","employee","\bpaid vacation time\b","paid vacation time"
"486","employee","\bparticipant\b","participant"
"487","employee","\bparticipants\b","participants"
"488","employee","\bparticipating\b","participating"
"489","employee","\bparticipatory\b","participatory"
"490","employee","\bparties\b","parties"
"491","employee","\bpartner\b","partner"
"492","employee","\bpayroll\b","payroll"
"493","employee","\bpeer\b","peer"
"494","employee","\bpension\b","pension"
"495","employee","\bpeople\b","people"
"496","employee","\bperformance\b","performance"
"497","employee","\bperformers\b","performers"
"498","employee","\bperson\b","person"
"499","employee","\bpersonal\b","personal"
"500","employee","\bpersonnel\b","personnel"
"501","employee","\bpersons\b","persons"
"502","employee","\bphilosophies\b","philosophies"
"503","employee","\bpositions\b","positions"
"504","employee","\bpractices\b","practices"
"505","employee","\bprejudiced\b","prejudiced"
"506","employee","\bprescribed\b","prescribed"
"507","employee","\bprinciples\b","principles"
